Hour,Month,Probability,S.E.,z,p-value,lower,upper,location,outcome
19,4,0.5279041,0.0215445,24.5,0,0.4856777,0.5701306,2,1
19,5,0.3327511,0.0177664,18.73,0,0.2979296,0.3675725,2,1
20,1,0.0457949,0.0057906,7.91,0,0.0344456,0.0571442,2,1
20,2,0.2005063,0.0159895,12.54,0,0.1691674,0.2318452,2,1
20,3,0.2220521,0.0158752,13.99,0,0.1909373,0.2531668,2,1
20,4,0.4213687,0.0229517,18.36,0,0.3763842,0.4663532,2,1
20,5,0.2463119,0.0164699,14.96,0,0.2140315,0.2785923,2,1
21,1,0.0423575,0.0053897,7.86,0,0.0317939,0.0529212,2,1
21,2,0.1954486,0.0156797,12.47,0,0.164717,0.2261803,2,1
21,3,0.2179061,0.0156385,13.93,0,0.1872553,0.248557,2,1
21,4,0.4130797,0.0227823,18.13,0,0.3684272,0.4577322,2,1
21,5,0.2406839,0.016211,14.85,0,0.2089109,0.2724569,2,1
22,1,0.0364076,0.0047171,7.72,0,0.0271622,0.045653,2,1
22,2,0.176818,0.0147444,11.99,0,0.1479196,0.2057164,2,1
22,3,0.198353,0.0148837,13.33,0,0.1691814,0.2275245,2,1
22,4,0.3832496,0.0226622,16.91,0,0.3388326,0.4276666,2,1
22,5,0.2189538,0.0155285,14.1,0,0.1885185,0.2493892,2,1
23,1,0.037456,0.0048574,7.71,0,0.0279357,0.0469764,2,1
23,2,0.1783188,0.014939,11.94,0,0.1490388,0.2075987,2,1
23,3,0.1993778,0.0150519,13.25,0,0.1698766,0.2288791,2,1
23,4,0.3859038,0.0228934,16.86,0,0.3410336,0.430774,2,1
23,5,0.2205345,0.0156987,14.05,0,0.1897656,0.2513034,2,1
24,1,0.0336435,0.0044352,7.59,0,0.0249507,0.0423363,2,1
24,2,0.1591593,0.0139573,11.4,0,0.1318035,0.186515,2,1
24,3,0.1778032,0.0141506,12.57,0,0.1500685,0.2055379,2,1
24,4,0.3543457,0.0226379,15.65,0,0.3099761,0.3987152,2,1
24,5,0.1978168,0.0148753,13.3,0,0.1686618,0.2269719,2,1
